lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,timestamp,phase
4.496078,5.583568,1.689386,6.932391,5.432922,1.65058,5.532125,1.473404,1.782438,5.579173,4.109216,1.777594,4.503417,5.200345,1.703773,6.615753,5.206142,1.654574,5103698,Rest
4.496726,5.547788,1.690042,6.933795,5.408581,1.652615,5.532131,1.473151,1.78191,5.579927,4.109312,1.777365,4.504666,5.163178,1.702907,6.617512,5.181194,1.656543,5103729,Rest
4.495953,5.52541,1.69031,6.932654,5.434242,1.650161,5.531821,1.4727,1.781896,5.580528,4.109371,1.777066,4.500359,5.140639,1.703089,6.616439,5.206642,1.65394,5103762,Rest
4.499608,5.599208,1.686364,6.972936,5.389309,1.656909,5.532565,1.472762,1.781688,5.581148,4.111345,1.776608,4.555069,5.213144,1.687992,6.610823,5.244353,1.655494,5103795,Rest
4.497225,5.598363,1.684676,6.932706,5.420004,1.648139,5.532781,1.472957,1.781428,5.581297,4.110899,1.776406,4.550096,5.212202,1.688152,6.621651,5.184755,1.650331,5103827,Rest
4.504442,5.563369,1.682441,6.984883,5.338807,1.662477,5.535068,1.473257,1.780948,5.581542,4.111409,1.776078,4.534203,5.17591,1.689498,6.619938,5.200892,1.661059,5103859,Rest
4.50179,5.587282,1.68125,6.936526,5.400179,1.650723,5.536529,1.473684,1.780335,5.581291,4.111289,1.77574,4.530342,5.199273,1.687336,6.613071,5.181889,1.651599,5103893,Rest
4.481035,5.558424,1.678168,6.935569,5.403949,1.650177,5.536117,1.472946,1.780279,5.581693,4.109772,1.775356,4.52395,5.174112,1.688738,6.613035,5.184223,1.651119,5103916,Rest
4.490471,5.547697,1.67737,6.954857,5.384894,1.654895,5.53716,1.473327,1.779768,5.58208,4.108705,1.77506,4.521791,5.162915,1.68891,6.594951,5.234004,1.65326,5103947,Rest
4.489324,5.565809,1.676458,6.942586,5.439578,1.648057,5.537143,1.473864,1.779812,5.583007,4.108175,1.774564,4.522038,5.180232,1.686775,6.616101,5.225594,1.648917,5103978,Rest
4.492285,5.565288,1.675985,6.939957,5.445879,1.647146,5.537017,1.474823,1.779145,5.58341,4.107857,1.774179,4.523952,5.179445,1.686093,6.615457,5.228827,1.648033,5104010,Rest
4.497224,5.53977,1.676007,6.936481,5.440813,1.646984,5.536807,1.476043,1.777958,5.58456,4.109405,1.773708,4.521713,5.153883,1.686869,6.618866,5.213822,1.648465,5104041,Rest
4.502309,5.540882,1.675035,6.934152,5.431872,1.647163,5.536812,1.476338,1.777259,5.584272,4.108561,1.7733,4.521862,5.155332,1.686788,6.619995,5.200109,1.648907,5104072,Rest
4.503534,5.518131,1.675801,6.932683,5.428998,1.647078,5.537085,1.476418,1.777121,5.584918,4.108721,1.772993,4.512773,5.133164,1.688817,6.619038,5.196464,1.648804,5104103,Rest
4.510484,5.524384,1.674444,6.932555,5.427499,1.647054,5.537039,1.475628,1.776959,5.585762,4.108626,1.772637,4.525187,5.138399,1.686029,6.619075,5.194676,1.648848,5104134,Rest
4.513111,5.523899,1.674059,6.930952,5.424551,1.647207,5.537321,1.475939,1.77666,5.585926,4.107906,1.772303,4.527936,5.137739,1.68545,6.618711,5.190025,1.64907,5104166,Rest
4.514114,5.533103,1.673493,7.247367,5.513365,1.657578,5.537661,1.475049,1.776659,5.586044,4.107326,1.77193,4.531378,5.146355,1.684093,7.112833,5.162153,1.678773,5104197,Rest
4.515278,5.536533,1.673138,6.922493,5.407812,1.645698,5.537966,1.473417,1.776494,5.586392,4.107406,1.771587,4.532172,5.149669,1.683659,6.614227,5.167647,1.646305,5104244,Rest
4.51519,5.538482,1.672996,6.922576,5.407521,1.645812,5.538387,1.472478,1.776285,5.586462,4.107471,1.771252,4.532572,5.151494,1.683352,6.614774,5.166713,1.646516,5104275,Rest
4.514722,5.539269,1.672899,6.92372,5.415277,1.645472,5.538383,1.469889,1.775986,5.586493,4.107517,1.77105,4.533183,5.152253,1.68319,6.613373,5.17769,1.645995,5104306,Rest
4.514832,5.537186,1.67283,6.923758,5.415276,1.645452,5.538388,1.467311,1.77597,5.586335,4.106198,1.770754,4.533478,5.150098,1.683047,6.612989,5.178188,1.645986,5104337,Rest
4.514745,5.537593,1.672786,6.923766,5.415386,1.645445,5.540616,1.465522,1.775951,5.586598,4.105697,1.770521,4.534079,5.150384,1.682837,6.613024,5.17819,1.645997,5104368,Rest
4.512556,5.573591,1.671528,6.923818,5.415483,1.645456,5.539979,1.463612,1.77597,5.587333,4.104538,1.770196,4.537572,5.185414,1.679417,6.612984,5.178339,1.646002,5104400,Rest
4.510486,5.576618,1.671425,6.924006,5.416852,1.645351,5.54012,1.461515,1.775977,5.587464,4.10359,1.769926,4.536579,5.188429,1.679219,6.612677,5.180296,1.645832,5104462,Rest
4.509336,5.591535,1.670745,6.9238,5.417256,1.645315,5.541015,1.458514,1.776102,5.588127,4.102865,1.769628,4.547841,5.203371,1.676257,6.612759,5.180274,1.645804,5104493,Rest
4.508659,5.597885,1.670481,6.926649,5.38879,1.647859,5.539804,1.456793,1.776088,5.58848,4.102667,1.769449,4.548201,5.209606,1.675476,6.614682,5.152946,1.648159,5104524,Rest
4.501211,5.597726,1.670458,6.926023,5.388148,1.648026,5.539415,1.453668,1.776302,5.588004,4.101641,1.769131,4.54837,5.210187,1.675242,6.613333,5.153186,1.648152,5104556,Rest
4.4993,5.601208,1.670251,6.925627,5.386711,1.648027,5.539203,1.451734,1.776311,5.587998,4.100983,1.768912,4.546216,5.213588,1.675013,6.613163,5.151374,1.648029,5104587,Rest
4.49842,5.605086,1.669923,6.922705,5.426226,1.644469,5.538378,1.449709,1.776529,5.587375,4.100204,1.768705,4.544912,5.21735,1.674585,6.610007,5.191146,1.644243,5104618,Rest
4.481174,5.547404,1.669612,6.922904,5.426866,1.644314,5.538244,1.448642,1.776554,5.587033,4.100471,1.768483,4.543759,5.217867,1.674347,6.609981,5.192022,1.643912,5104649,Rest
4.482164,5.564342,1.668865,6.922447,5.427079,1.644232,5.538349,1.447695,1.77653,5.586166,4.100619,1.76822,4.543787,5.222167,1.673157,6.609624,5.192029,1.643803,5104680,Rest
4.483576,5.5794,1.668452,6.921956,5.429626,1.643932,5.53825,1.447037,1.776668,5.584778,4.101483,1.767823,4.542112,5.223036,1.673071,6.608458,5.195422,1.643226,5104712,Rest
4.482694,5.581056,1.668271,6.922475,5.415511,1.645108,5.537832,1.446907,1.776901,5.584337,4.102461,1.767716,4.541959,5.224477,1.672323,6.608819,5.18145,1.644315,5104743,Rest
4.477109,5.555474,1.668266,6.922351,5.41397,1.645227,5.536209,1.445122,1.777654,5.582581,4.103451,1.767434,4.54049,5.22294,1.672304,6.608788,5.179709,1.644489,5104774,Rest
4.479513,5.573874,1.668352,6.704819,5.44554,1.63809,5.535811,1.444615,1.777962,5.578145,4.106395,1.767171,4.542002,5.188355,1.673561,6.60823,5.174978,1.64492,5104805,Preparation
4.478686,5.586364,1.668138,6.706503,5.43358,1.639242,5.534339,1.441947,1.779487,5.5732,4.105017,1.767132,4.537313,5.200262,1.673389,6.609019,5.163323,1.646037,5104836,Preparation
4.483549,5.541737,1.669369,6.710869,5.379802,1.644555,5.534452,1.440675,1.779893,5.570545,4.105738,1.766969,4.512089,5.155268,1.680381,6.612768,5.109746,1.651318,5104883,Preparation
4.487118,5.550291,1.669045,6.711229,5.379198,1.6447,5.533978,1.440627,1.780255,5.564704,4.120451,1.766437,4.508074,5.16399,1.680947,6.61268,5.109286,1.651441,5104914,Preparation
4.489655,5.524087,1.669908,6.711858,5.380911,1.644694,5.533355,1.43968,1.780514,5.559229,4.124635,1.766204,4.49861,5.139159,1.684008,6.612173,5.111391,1.651411,5104946,Preparation
4.483953,5.514099,1.670157,6.709929,5.45416,1.636935,5.528149,1.437928,1.781492,5.5566,4.12518,1.766117,4.495459,5.129939,1.685022,6.60622,5.186023,1.643451,5104977,Preparation
4.497924,5.533938,1.661407,6.711674,5.413857,1.640015,5.527349,1.434616,1.783413,5.554442,4.12617,1.76609,4.492496,5.158028,1.683243,6.606075,5.146398,1.646471,5105008,Preparation
4.437485,5.549549,1.664356,6.719372,5.394765,1.640129,5.514992,1.431658,1.786167,5.548538,4.122469,1.766202,4.480709,5.172083,1.683249,6.610413,5.128553,1.646434,5105039,Preparation
4.411572,5.558808,1.664413,6.719999,5.415745,1.637195,5.508488,1.428491,1.789706,5.545738,4.123209,1.76616,4.47515,5.185403,1.684222,6.610276,5.149821,1.643475,5105070,Preparation
4.395821,5.558814,1.664991,6.722206,5.407103,1.637614,5.501424,1.429941,1.790754,5.536622,4.117867,1.76656,4.472474,5.187169,1.684273,6.61211,5.141311,1.643871,5105102,Preparation
4.376227,5.592128,1.663264,6.724882,5.384026,1.639605,5.499935,1.429485,1.792816,5.533265,4.117069,1.766583,4.461173,5.220738,1.681314,6.614431,5.118372,1.645847,5105133,Preparation
4.357345,5.597563,1.662929,6.723442,5.375672,1.638101,5.493689,1.429442,1.793257,5.527137,4.113606,1.766718,4.454054,5.229232,1.681113,6.612247,5.110296,1.644278,5105180,Preparation
4.34394,5.588371,1.663854,6.72476,5.329807,1.637348,5.487523,1.427422,1.79581,5.523896,4.108077,1.766855,4.44152,5.222389,1.683672,6.612679,5.064762,1.643447,5105211,Preparation
4.402714,5.58471,1.65369,6.725307,5.323976,1.637134,5.483564,1.425641,1.798402,5.522062,4.1059,1.767017,4.431428,5.224966,1.684057,6.613105,5.058965,1.64322,5105258,Preparation
