lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,timestamp,phase
3.967772,5.338346,1.797704,5.149897,5.331494,1.810117,4.420647,1.828892,1.961033,4.474897,4.228832,1.958679,3.750464,5.059109,1.833307,5.213768,5.082242,1.838048,5344101,Rest
3.966707,5.33681,1.797917,5.132343,5.323418,1.809349,4.420364,1.828742,1.960948,4.474824,4.228904,1.958676,3.749928,5.057271,1.833555,5.196215,5.074165,1.83728,5344138,Rest
3.966379,5.333297,1.798404,5.127831,5.32633,1.810185,4.421659,1.828395,1.960638,4.474284,4.229737,1.958684,3.749717,5.053565,1.834011,5.191703,5.077075,1.838116,5344210,Rest
3.966855,5.3348,1.798445,5.130795,5.339961,1.808832,4.42177,1.828285,1.960589,4.474858,4.233171,1.958651,3.750409,5.054168,1.833823,5.194668,5.090704,1.836763,5344236,Rest
3.96699,5.334563,1.798439,5.139428,5.343214,1.809412,4.427346,1.827016,1.961,4.47467,4.233065,1.958665,3.750469,5.054052,1.833838,5.203301,5.093956,1.837343,5344263,Rest
4.120187,5.511436,1.775911,5.14545,5.339487,1.809989,4.429076,1.827163,1.960832,4.474569,4.233027,1.958677,3.897465,5.23272,1.810326,5.209323,5.090226,1.837921,5344299,Rest
3.965735,5.3405,1.800175,5.13564,5.339567,1.810301,4.429693,1.82711,1.960801,4.474409,4.232829,1.958706,3.745047,5.068685,1.837223,5.199514,5.090303,1.838233,5344334,Rest
3.955289,5.343292,1.797389,5.131824,5.338231,1.810355,4.432181,1.827331,1.960848,4.475613,4.233188,1.958762,3.745621,5.07148,1.836928,5.195704,5.088946,1.83829,5344363,Rest
3.994752,5.381501,1.791626,5.16377,5.347973,1.812212,4.432205,1.827412,1.960853,4.4755,4.233466,1.958792,3.782114,5.110002,1.830622,5.227653,5.098676,1.840148,5344397,Rest
3.988338,5.361486,1.795726,5.140093,5.346189,1.81111,4.432459,1.827272,1.960805,4.47524,4.233442,1.958783,3.769838,5.093329,1.834362,5.203981,5.096871,1.839048,5344429,Rest
3.981608,5.346393,1.797891,5.13449,5.345758,1.811465,4.4325,1.827317,1.960795,4.476555,4.234438,1.958901,3.761115,5.079436,1.836422,5.198384,5.096418,1.839406,5344464,Rest
3.981361,5.343922,1.798498,5.134673,5.345183,1.811584,4.433132,1.827942,1.960769,4.478141,4.233978,1.959012,3.75954,5.077009,1.83675,5.198573,5.095819,1.839527,5344496,Rest
3.981201,5.345455,1.798532,5.133955,5.345646,1.811428,4.433331,1.828139,1.960781,4.478203,4.233914,1.959013,3.758851,5.078955,1.836794,5.197861,5.096256,1.839374,5344532,Rest
4.004828,5.371211,1.794339,5.133865,5.346018,1.81139,4.433351,1.827869,1.96079,4.477907,4.233243,1.959036,3.777886,5.107394,1.832279,5.197777,5.096607,1.839339,5344562,Rest
3.988103,5.345588,1.796784,5.134207,5.33026,1.812709,4.434221,1.827433,1.960762,4.477834,4.233144,1.959043,3.764655,5.075084,1.833672,5.198125,5.080824,1.84066,5344600,Rest
3.984053,5.347529,1.795903,5.134602,5.327323,1.813085,4.434419,1.827779,1.960768,4.47796,4.231285,1.959113,3.764443,5.072099,1.832252,5.19852,5.077885,1.841037,5344631,Rest
4.129581,5.510715,1.773613,5.13296,5.331167,1.812733,4.434433,1.827792,1.960775,4.477269,4.231318,1.95907,3.909928,5.23893,1.808173,5.196877,5.081731,1.840684,5344665,Rest
3.995881,5.347815,1.792587,5.132863,5.333282,1.812963,4.434401,1.827855,1.960793,4.477912,4.231779,1.959015,3.784178,5.060818,1.827191,5.196781,5.083845,1.840914,5344695,Rest
3.994276,5.348001,1.792343,5.141012,5.314748,1.815832,4.433947,1.827456,1.960846,4.477494,4.231676,1.959023,3.782654,5.06108,1.826993,5.204931,5.065309,1.843784,5344734,Rest
3.994679,5.345356,1.792475,5.170065,5.316418,1.817865,4.435552,1.827574,1.961238,4.475099,4.228567,1.958917,3.782226,5.059458,1.82726,5.233984,5.066976,1.845817,5344762,Rest
3.996035,5.344317,1.792362,5.157694,5.3136,1.81807,4.435942,1.82743,1.961448,4.47441,4.227671,1.958874,3.782786,5.059339,1.827256,5.221614,5.064156,1.846022,5344799,Rest
